movement speed: 0.2 | turn speed: 0.2 | turn resolution: 0.1 | goal resolution: 0.1husky position: 0.0 , 0.0 | husky orientation: 0.0 | angle to goal: 0.0
husky position: 0.0 , 0.0 | husky orientation: -0.603099 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.603244 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.603536 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.603778 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.603973 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.604264 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.604458 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.604798 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.604992 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.605186 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.605429 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.60572 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.605914 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.606108 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.606448 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.606642 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.606933 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.607225 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.60737 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.607661 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.607904 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.608098 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.608389 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.608584 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.608923 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.609118 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.609312 | angle to goal: 1.570796
